brand
AlienVault
amazon
ca
checkpoint
cisco
citrix
f5
fireeye
fortinet	
google
hp
ibm
intel
julia
juniper
mcafee
microsoft
netapp
oracle
paloalto
python
qualys
R
sap
sas
solarwinds
splunk
symantec
trendmicro
vmware
